category,event_count,total_amount_cents,total_quantity,flagged_count,avg_amount_cents
automotive,4962,248176737,52069,97,50015
beauty,4969,249703763,51363,110,50252
books,4873,243546697,50792,94,49979
clothing,4944,249148775,52190,99,50394
education,4902,244464367,51564,88,49870
electronics,4884,245088832,51249,114,50182
finance,5044,255966401,53167,115,50747
food,5114,254444277,53579,94,49754
gaming,4973,250382308,52300,98,50348
garden,5124,254996531,53966,113,49765
health,5096,257733268,53729,96,50576
home,5061,254542048,53668,106,50295
media,5164,256012893,53562,104,49576
music,5040,257481243,52571,100,51088
office,4866,242639866,51001,94,49864
other,5010,251154999,53256,104,50131
pets,5030,249137675,52802,95,49530
sports,4942,245743293,52449,109,49725
toys,5102,257941271,53946,118,50557
travel,4900,242547947,51422,96,49500
